,train_ARI,loglike,test_ARI,train_ARI_std,loglike_std,test_ARI_std,method,missing_rate,RMSE_test,RMSE_train,RMSE_test_std,RMSE_train_std
0,0.6212442709217452,0.0,0.5488888888888888,1.1102230246251565e-16,0.0,1.1102230246251565e-16,KMeans+CC,0.0,,,,
1,0.7198231126754208,0.0,0.5631276901004305,0.0,0.0,1.1102230246251565e-16,KMeans+mean,0.0,,,,
2,0.7198231126754208,0.0,0.5631276901004305,0.0,0.0,1.1102230246251565e-16,KMeans+mode,0.0,,,,
3,0.7198231126754208,0.0,0.5631276901004305,0.0,0.0,1.1102230246251565e-16,KMeans+median,0.0,,,,
4,0.5872094514847274,-1.9418045376629351,0.5958541726153246,0.1212295463360583,0.06565331759765666,0.11727502196134745,EM+CC,0.0,0.0,0.0,0.0,0.0
5,0.24612857813233227,0.0,0.19030124908155768,2.7755575615628914e-17,0.0,0.0,KMeans+CC,0.1,,,,
6,0.6645187273459525,0.0,0.6044735406437534,0.0,0.0,0.0,KMeans+mean,0.1,,,,
7,0.616910221292871,0.0,0.5122897800776196,0.0,0.0,1.1102230246251565e-16,KMeans+mode,0.1,,,,
8,0.6645187273459525,0.0,0.6044735406437534,0.0,0.0,0.0,KMeans+median,0.1,,,,
9,0.18017881788458862,-2.4765275289808093,0.412265136796284,0.06419415386228404,0.30006901531462227,0.09585609802826549,EM+CC,0.1,0.3394679163677785,0.5073831054017417,0.03469746784659098,0.03556505379637632
10,0.10025626039652924,0.0,0.06209573091849936,0.0,0.0,6.938893903907228e-18,KMeans+CC,0.2,,,,
11,0.5453428948024286,0.0,0.4106517168885774,0.0,0.0,5.551115123125783e-17,KMeans+mean,0.2,,,,
12,0.5558606090990841,0.0,0.667144906743185,0.0,0.0,0.0,KMeans+mode,0.2,,,,
13,0.5453428948024286,0.0,0.4106517168885774,0.0,0.0,5.551115123125783e-17,KMeans+median,0.2,,,,
14,0.04308160725322187,-3.2265101587572524,0.385776645629348,0.01852068970478112,0.4327615475361693,0.18241860124693535,EM+CC,0.2,0.4815945488121637,0.5815394597172843,0.09838909397488015,0.04168651632618409
15,0.018522667861677496,0.0,0.07813887408985969,0.0,0.0,1.3877787807814457e-17,KMeans+CC,0.3,,,,
16,0.41581153379758734,0.0,0.3362914525922466,5.551115123125783e-17,0.0,5.551115123125783e-17,KMeans+mean,0.3,,,,
17,0.5246725377922726,0.0,0.35577750990184265,0.0,0.0,5.551115123125783e-17,KMeans+mode,0.3,,,,
18,0.41581153379758734,0.0,0.26537997587454765,5.551115123125783e-17,0.0,0.0,KMeans+median,0.3,,,,
19,0.00651019562724756,-6.4459431614044975,0.18815257352084896,0.005058173159480319,2.56042246657877,0.12366015263959693,EM+CC,0.3,0.6643161609092274,0.5840089692447137,0.06497433010892945,0.042715944857512775
20,-0.004295676875561276,0.0,0.11585365853658539,0.0,0.0,1.3877787807814457e-17,KMeans+CC,0.4,,,,
21,0.4795462430480356,0.0,0.22476813966175674,5.551115123125783e-17,0.0,5.551115123125783e-17,KMeans+mean,0.4,,,,
22,0.21729325355665524,0.0,0.06845708267509214,2.7755575615628914e-17,0.0,1.3877787807814457e-17,KMeans+mode,0.4,,,,
23,0.4795462430480356,0.0,0.22476813966175674,5.551115123125783e-17,0.0,5.551115123125783e-17,KMeans+median,0.4,,,,
24,-3.7823321024054955e-05,-35.60296114104485,0.1527976184569368,0.0010807735172122137,26.405406666348735,0.13958985428612483,EM+CC,0.4,0.6939387069624722,0.7689177593876017,0.0535530842429864,0.034907658489915706
25,0.017883015937817694,0.0,0.0024706062131166365,3.469446951953614e-18,0.0,0.035219396067712266,KMeans+CC,0.5,,,,
26,0.38501370697532744,0.0,0.24591010848975378,0.0,0.0,2.7755575615628914e-17,KMeans+mean,0.5,,,,
27,0.25330799424542205,0.0,0.1433846153846154,5.551115123125783e-17,0.0,0.0,KMeans+mode,0.5,,,,
28,0.38501370697532744,0.0,0.24591010848975378,0.0,0.0,2.7755575615628914e-17,KMeans+median,0.5,,,,
29,0.0017449899949311856,-68.338393360168,0.05602788220308815,0.001924841523441097,103.36222931444696,0.08692066325931387,EM+CC,0.5,0.8112776993839239,0.7795774717852104,0.07866671869423257,0.10808700310783963
30,0.012579959633066712,0.0,-0.005944464877543669,0.0,0.0,0.05827413845049137,KMeans+CC,0.6,,,,
31,0.24282009505721752,0.0,0.18407248450166905,2.7755575615628914e-17,0.0,0.0,KMeans+mean,0.6,,,,
32,0.1558107272392987,0.0,0.15450502388403886,2.7755575615628914e-17,0.0,0.0,KMeans+mode,0.6,,,,
33,0.24282009505721752,0.0,0.1890329635994376,2.7755575615628914e-17,0.0,2.7755575615628914e-17,KMeans+median,0.6,,,,
34,1.4604182139085242e-05,-0.013200527630068907,0.04575320085667297,9.918031313770219e-05,0.007458318164443414,0.04006947840452529,EM+CC,0.6,1.408043350338572,1.6311698307513935,0.28200378774609247,0.5481564143686072
35,0.0017811264270241618,0.0,0.0055892723171369315,0.015394301253114041,0.0,0.0356660939095453,KMeans+CC,0.7,,,,
36,0.08058243989187333,0.0,0.03148447844637341,1.3877787807814457e-17,0.0,6.938893903907228e-18,KMeans+mean,0.7,,,,
37,0.0783106438271238,0.0,0.02618099032441662,0.0,0.0,0.0,KMeans+mode,0.7,,,,
38,0.08058243989187333,0.0,0.012255949836112301,1.3877787807814457e-17,0.0,1.734723475976807e-18,KMeans+median,0.7,,,,
39,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.7,0.9350928928455884,0.9880636172675153,0.0,1.1102230246251565e-16
40,0.006875670255801989,0.0,-0.028907464726225008,0.013483703899630602,0.0,0.023368164337255814,KMeans+CC,0.8,,,,
41,0.010118372374773473,0.0,-0.0037273695420660274,0.0,0.0,4.336808689942018e-19,KMeans+mean,0.8,,,,
42,0.011443134607091076,0.0,0.10265434814488927,1.734723475976807e-18,0.0,0.0,KMeans+mode,0.8,,,,
43,0.010118372374773473,0.0,-0.0037273695420660274,0.0,0.0,4.336808689942018e-19,KMeans+median,0.8,,,,
44,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.8,0.9211821053933115,1.0043650140024483,1.1102230246251565e-16,2.220446049250313e-16
45,-0.0031849190291002734,0.0,-0.01923960815179198,0.009462700482817674,0.0,0.016269600273097568,KMeans+CC,0.9,,,,
46,-0.0007388843607888543,0.0,0.009896091044037604,0.0,0.0,0.0,KMeans+mean,0.9,,,,
47,0.0057763633688742285,0.0,0.009896091044037604,0.0,0.0,0.0,KMeans+mode,0.9,,,,
48,0.0057763633688742285,0.0,0.009896091044037604,0.0,0.0,0.0,KMeans+median,0.9,,,,
49,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.9,0.9631176721467462,1.0054762444282195,1.1102230246251565e-16,0.0
